Timestamp;age;Generation;Gender;Purchase_Frequency;Purchase_Categories;Personalized_Recommendation_Frequency;Browsing_Frequency;Product_Search_Method;Search_Result_Exploration;Customer_Reviews_Importance;Add_to_Cart_Browsing;Cart_Completion_Frequency;Cart_Abandonment_Factors;Saveforlater_Frequency;Review_Left;Review_Reliability;Review_Helpfulness;Personalized_Recommendation_Frequency ;Recommendation_Helpfulness;Rating_Accuracy ;Shopping_Satisfaction;Service_Appreciation;Improvement_Areas
2023/06/04 7:48:31 PM GMT+5:30;25;Y;Female;Multiple times a week;Beauty and Personal Care;;;;;;;;;;;;;;;;;;
2023/06/04 8:00:11 PM GMT+5:30;23;Z;Female;Less than once a month;Beauty and Personal Care;;;;;;;;;;;;;;;;;;
2023/06/04 8:01:45 PM GMT+5:30;24;Z;Female;Once a month;Clothing and Fashion;;;;;;;;;;;;;;;;;;
2023/06/04 8:02:28 PM GMT+5:30;21;Z;Female;Less than once a month;Beauty and Personal Care;Yes;Few times a week;Keyword;Multiple pages;1;Yes;Often;Changed my mind or no longer need the item;Always;Yes;Heavily;Yes;5;Sometimes;3;1;User-friendly website/app interface;Reducing packaging waste
2023/06/04 8:20:42 PM GMT+5:30;23;Z;Female;Less than once a month;others;No;Rarely;Filter;First page;1;Maybe;Sometimes;High shipping costs;Sometimes;No;Heavily;Yes;3;Sometimes;3;3;User-friendly website/app interface;Shipping speed and reliability
2023/06/04 8:39:53 PM GMT+5:30;16;Z;Male;Few times a month;Clothing and Fashion;;;;;;;;;;;;;;;;;;
2023/06/04 8:45:45 PM GMT+5:30;21;Z;Female;Less than once a month;Clothing and Fashion;No;Few times a month;Keyword;Multiple pages;1;Maybe;Sometimes;others;Never;No;Heavily;Yes;2;Yes;2;1;Wide product selection;Shipping speed and reliability
2023/06/04 8:46:02 PM GMT+5:30;23;Z;Female;Few times a month;Beauty and Personal Care;;;;;;;;;;;;;;;;;;
2023/06/04 8:48:59 PM GMT+5:30;25;Y;Female;Less than once a month;Beauty and Personal Care;No;Few times a week;Keyword;Multiple pages;1;Yes;Sometimes;Found a better price elsewhere;Rarely;No;Heavily;Yes;4;Sometimes;3;2;Wide product selection;Product quality and accuracy
2023/06/04 8:49:49 PM GMT+5:30;64;Baby Boomers;Male;Once a week;Groceries and Gourmet Food;No;Few times a month;Keyword;Multiple pages;3;No;Often;Changed my mind or no longer need the item;Never;No;Occasionally;Yes;2;Yes;1;2;Competitive prices;Reducing packaging waste
2023/06/04 8:52:49 PM GMT+5:30;23;Z;Female;Once a month;Clothing and Fashion;No;Few times a month;others;First page;1;Yes;Sometimes;Found a better price elsewhere;Sometimes;No;Heavily;Yes;3;Sometimes;3;2;User-friendly website/app interface;Customer service responsiveness
2023/06/04 8:54:36 PM GMT+5:30;21;Z;Male;Less than once a month;others;No;Few times a week;others;Multiple pages;1;Yes;Never;others;Never;No;Never;Sometimes;3;Sometimes;3;3;.;.
2023/06/04 9:10:08 PM GMT+5:30;16;Z;Female;Less than once a month;Clothing and Fashion;No;Few times a month;categories;Multiple pages;2;Yes;Sometimes;Changed my mind or no longer need the item;Often;No;Moderately;Yes;3;Yes;2;2;Wide product selection;Shipping speed and reliability
2023/06/04 9:10:51 PM GMT+5:30;23;Z;Female;Few times a month;Beauty and Personal Care;;;;;;;;;;;;;;;;;;
2023/06/04 9:18:12 PM GMT+5:30;24;Z;Female;Multiple times a week;Groceries and Gourmet Food;Yes;Few times a week;categories;Multiple pages;1;Maybe;Rarely;Changed my mind or no longer need the item;Sometimes;Yes;Moderately;No;2;No;2;3;User-friendly website/app interface;Product quality and accuracy
2023/06/04 9:22:58 PM GMT+5:30;22;Z;Female;Less than once a month;Beauty and Personal Care;;;;;;;;;;;;;;;;;;
2023/06/04 9:29:59 PM GMT+5:30;23;Z;Female;Less than once a month;Beauty and Personal Care;No;Few times a month;categories;Multiple pages;4;Yes;Sometimes;Found a better price elsewhere;Rarely;No;Occasionally;Sometimes;3;Yes;3;5;Wide product selection;Reducing packaging waste
2023/06/04 9:40:54 PM GMT+5:30;23;Z;Female;Few times a month;Beauty and Personal Care;;;;;;;;;;;;;;;;;;
2023/06/04 9:48:15 PM GMT+5:30;24;Z;Female;Less than once a month;Clothing and Fashion;Yes;Few times a month;Keyword;Multiple pages;4;Yes;Sometimes;Found a better price elsewhere;Rarely;No;Occasionally;Yes;4;Yes;5;4;Competitive prices;Reducing packaging waste
2023/06/04 10:13:28 PM GMT+5:30;25;Y;Female;Few times a month;Groceries and Gourmet Food;;;;;;;;;;;;;;;;;;
2023/06/04 10:24:47 PM GMT+5:30;23;Z;Female;Less than once a month;Groceries and Gourmet Food;;;;;;;;;;;;;;;;;;
2023/06/04 10:37:00 PM GMT+5:30;23;Z;Female;Less than once a month;others;No;Rarely;others;First page;3;No;Never;others;Never;No;Occasionally;Sometimes;5;No;3;3;Wide product selection;Product quality and accuracy
2023/06/04 11:09:27 PM GMT+5:30;23;Z;Female;Less than once a month;Groceries and Gourmet Food;;;;;;;;;;;;;;;;;;
2023/06/04 11:12:15 PM GMT+5:30;23;Z;Male;Multiple times a week;Groceries and Gourmet Food;;;;;;;;;;;;;;;;;;
2023/06/04 11:24:41 PM GMT+5:30;24;Z;Female;Less than once a month;others;Sometimes;Multiple times a day;Keyword;Multiple pages;1;Yes;Rarely;Found a better price elsewhere;Rarely;Yes;Heavily;Yes;3;Sometimes;3;1;Wide product selection;Product quality and accuracy
2023/06/04 11:27:53 PM GMT+5:30;24;Z;Female;Few times a month;Beauty and Personal Care;;;;;;;;;;;;;;;;;;
2023/06/04 11:38:30 PM GMT+5:30;23;Z;Female;Less than once a month;Beauty and Personal Care;;;;;;;;;;;;;;;;;;
2023/06/04 11:57:10 PM GMT+5:30;29;Y;Male;Once a month;Clothing and Fashion;Sometimes;Few times a week;categories;Multiple pages;1;Yes;Often;Changed my mind or no longer need the item;Often;No;Moderately;Yes;2;Yes;2;2;Competitive prices;Customer service responsiveness
2023/06/05 12:02:56 AM GMT+5:30;19;Z;Female;Few times a month;Clothing and Fashion;Yes;Few times a week;Keyword;Multiple pages;5;Yes;Always;Found a better price elsewhere;Rarely;Yes;Rarely;Yes;3;Yes;3;5;Competitive prices;Shipping speed and reliability
2023/06/05 12:05:20 AM GMT+5:30;26;Y;Female;Less than once a month;others;Yes;Few times a month;Keyword;Multiple pages;1;Yes;Sometimes;High shipping costs;Sometimes;Yes;Moderately;Yes;1;Yes;2;2;Competitive prices;Product quality and accuracy
2023/06/05 12:36:02 AM GMT+5:30;32;Y;Male;Less than once a month;others;No;Rarely;Keyword;First page;1;No;Always;Changed my mind or no longer need the item;Never;No;Moderately;Yes;1;No;4;1;Customer service ;Nothing
2023/06/05 12:37:54 AM GMT+5:30;30;Y;Female;Once a month;Home and Kitchen;No;Few times a month;Filter;Multiple pages;2;Yes;Sometimes;Found a better price elsewhere;Often;Yes;Moderately;Yes;1;No;4;1;User-friendly website/app interface;Reducing packaging waste
2023/06/05 12:39:14 AM GMT+5:30;22;Z;Female;Less than once a month;Beauty and Personal Care;;;;;;;;;;;;;;;;;;
2023/06/05 12:57:05 AM GMT+5:30;26;Y;Female;Few times a month;Beauty and Personal Care;;;;;;;;;;;;;;;;;;
2023/06/05 2:56:10 AM GMT+5:30;24;Z;Female;Less than once a month;Beauty and Personal Care;;;;;;;;;;;;;;;;;;
2023/06/05 4:26:25 AM GMT+5:30;23;Z;Female;Few times a month;Beauty and Personal Care;;;;;;;;;;;;;;;;;;
2023/06/05 7:16:40 AM GMT+5:30;24;Z;Female;Less than once a month;Clothing and Fashion;Sometimes;Few times a month;Filter;Multiple pages;3;Maybe;Rarely;Changed my mind or no longer need the item;Sometimes;No;Occasionally;Sometimes;3;Sometimes;3;3;Product recommendations;Product quality and accuracy
2023/06/05 8:43:26 AM GMT+5:30;23;Z;Female;Few times a month;others;No;Few times a week;Keyword;Multiple pages;1;Yes;Sometimes;Found a better price elsewhere;Always;No;Heavily;Yes;4;Sometimes;3;3;Wide product selection;Product quality and accuracy
2023/06/05 9:20:17 AM GMT+5:30;24;Z;Male;Few times a month;Clothing and Fashion;No;Few times a month;Keyword;Multiple pages;1;Yes;Always;Changed my mind or no longer need the item;Often;No;Heavily;Yes;1;Yes;1;2;User-friendly website/app interface;Product quality and accuracy
2023/06/05 9:56:58 AM GMT+5:30;23;Z;Female;Once a month;Beauty and Personal Care;;;;;;;;;;;;;;;;;;
2023/06/05 10:36:38 AM GMT+5:30;25;Y;Male;Less than once a month;others;Sometimes;Few times a week;Keyword;First page;4;Yes;Often;Changed my mind or no longer need the item;Often;Yes;Heavily;Yes;3;Sometimes;3;3;Wide product selection;Product quality and accuracy
2023/06/05 10:37:36 AM GMT+5:30;24;Z;Female;Less than once a month;Beauty and Personal Care;;;;;;;;;;;;;;;;;;
2023/06/05 10:53:16 AM GMT+5:30;21;Z;Female;Few times a month;Home and Kitchen;No;Few times a month;Keyword;First page;1;Yes;Rarely;Changed my mind or no longer need the item;Often;Yes;Heavily;Yes;1;Sometimes;3;1;User-friendly website/app interface;Reducing packaging waste
2023/06/05 11:20:41 AM GMT+5:30;23;Z;Female;Less than once a month;Clothing and Fashion;No;Few times a month;Keyword;Multiple pages;1;Maybe;Rarely;Changed my mind or no longer need the item;Never;No;Moderately;Yes;3;Sometimes;3;3;Wide product selection;Reducing packaging waste
2023/06/05 11:54:52 AM GMT+5:30;26;Y;Female;Less than once a month;Beauty and Personal Care;;;;;;;;;;;;;;;;;;
2023/06/05 1:10:59 PM GMT+5:30;23;Z;Female;Few times a month;Clothing and Fashion;;;;;;;;;;;;;;;;;;
2023/06/05 1:27:08 PM GMT+5:30;23;Z;Female;Few times a month;Beauty and Personal Care;;;;;;;;;;;;;;;;;;
2023/06/05 1:28:44 PM GMT+5:30;40;Y;Male;Few times a month;Beauty and Personal Care;;;;;;;;;;;;;;;;;;
2023/06/05 1:32:57 PM GMT+5:30;25;Y;Female;Once a month;Beauty and Personal Care;Sometimes;Few times a month;categories;Multiple pages;5;Maybe;Sometimes;Found a better price elsewhere;Often;No;Moderately;Sometimes;3;Sometimes;3;3;Wide product selection;Customer service responsiveness
2023/06/05 1:35:41 PM GMT+5:30;24;Z;Male;Once a month;others;Sometimes;Few times a week;Keyword;Multiple pages;4;Yes;Sometimes;Changed my mind or no longer need the item;Sometimes;Yes;Moderately;Sometimes;4;Sometimes;1;2;Wide product selection;Shipping speed and reliability
2023/06/05 1:35:44 PM GMT+5:30;23;Z;Female;Less than once a month;Beauty and Personal Care;;;;;;;;;;;;;;;;;;
2023/06/05 1:37:01 PM GMT+5:30;24;Z;Male;Less than once a month;others;Sometimes;Few times a month;Keyword;Multiple pages;1;Yes;Sometimes;Found a better price elsewhere;Never;Yes;Heavily;Yes;2;Yes;3;2;User-friendly website/app interface;Shipping speed and reliability
2023/06/05 1:43:00 PM GMT+5:30;24;Z;Male;Less than once a month;others;No;Few times a week;categories;Multiple pages;1;Maybe;Never;Changed my mind or no longer need the item;Rarely;No;Heavily;Yes;3;Sometimes;3;3;Wide product selection;Product quality and accuracy
2023/06/05 1:45:30 PM GMT+5:30;24;Z;Female;Less than once a month;Beauty and Personal Care;;;;;;;;;;;;;;;;;;
2023/06/05 1:54:28 PM GMT+5:30;26;Y;Male;Few times a month;others;No;Few times a week;Keyword;Multiple pages;4;Yes;Often;Changed my mind or no longer need the item;Rarely;Yes;Occasionally;Yes;3;Yes;3;4;Competitive prices;Product quality and accuracy
2023/06/05 2:10:33 PM GMT+5:30;23;Z;Female;Few times a month;Beauty and Personal Care;;;;;;;;;;;;;;;;;;
2023/06/05 2:16:16 PM GMT+5:30;23;Z;Female;Few times a month;Beauty and Personal Care;;;;;;;;;;;;;;;;;;
2023/06/05 2:17:45 PM GMT+5:30;24;Z;Female;Once a month;others;Sometimes;Few times a week;Keyword;Multiple pages;1;Yes;Sometimes;Found a better price elsewhere;Sometimes;Yes;Occasionally;Yes;3;Yes;3;2;User-friendly website/app interface;Product quality and accuracy
2023/06/05 2:21:37 PM GMT+5:30;23;Z;Male;Less than once a month;others;No;Few times a month;Keyword;First page;1;Maybe;Rarely;High shipping costs;Never;No;Moderately;Sometimes;3;Sometimes;3;3;Wide product selection;better app interface and lower shipping charges
2023/06/05 2:24:22 PM GMT+5:30;24;Z;Female;Less than once a month;Beauty and Personal Care;;;;;;;;;;;;;;;;;;
2023/06/05 2:25:28 PM GMT+5:30;36;Y;Female;Once a month;Home and Kitchen;;;;;;;;;;;;;;;;;;
2023/06/05 2:28:10 PM GMT+5:30;26;Y;Male;Less than once a month;Home and Kitchen;No;Rarely;Filter;Multiple pages;1;Yes;Sometimes;Found a better price elsewhere;Sometimes;Yes;Moderately;Yes;1;Yes;2;1;Wide product selection;Product quality and accuracy
2023/06/05 2:46:25 PM GMT+5:30;31;Y;Male;Once a month;Home and Kitchen;;;;;;;;;;;;;;;;;;
2023/06/05 3:28:01 PM GMT+5:30;23;Z;Male;Less than once a month;others;No;Rarely;categories;Multiple pages;1;Maybe;Often;Found a better price elsewhere;Never;No;Heavily;Yes;2;No;3;2;User-friendly website/app interface;Reducing packaging waste
2023/06/05 4:46:52 PM GMT+5:30;23;Z;Female;Less than once a month;Home and Kitchen;Yes;Few times a month;Keyword;Multiple pages;1;Yes;Sometimes;Changed my mind or no longer need the item;Rarely;No;Heavily;Yes;3;Yes;2;2;Wide product selection;Product quality and accuracy
2023/06/05 4:49:43 PM GMT+5:30;30;Y;Male;Once a week;Groceries and Gourmet Food;;;;;;;;;;;;;;;;;;
2023/06/05 4:50:33 PM GMT+5:30;24;Z;Female;Less than once a month;others;No;Rarely;categories;Multiple pages;2;Yes;Sometimes;Found a better price elsewhere;Often;No;Moderately;Yes;2;Sometimes;2;2;Wide product selection;Product quality and accuracy
2023/06/05 4:50:44 PM GMT+5:30;47;X;Prefer not to say;Less than once a month;others;Sometimes;Rarely;others;First page;2;Maybe;Never;Changed my mind or no longer need the item;Never;No;Never;Sometimes;2;No;2;2;User-friendly website/app interface;Shipping speed and reliability
2023/06/05 4:52:12 PM GMT+5:30;54;X;Others;Multiple times a week;Groceries and Gourmet Food;;;;;;;;;;;;;;;;;;
2023/06/05 6:49:25 PM GMT+5:30;58;Baby Boomers;Male;Once a month;Clothing and Fashion;;;;;;;;;;;;;;;;;;
2023/06/05 7:04:21 PM GMT+5:30;53;X;Female;Less than once a month;Home and Kitchen;No;Few times a week;Keyword;Multiple pages;3;No;Rarely;Changed my mind or no longer need the item;Never;No;Moderately;Yes;2;Yes;2;1;Competitive prices;Reducing packaging waste
2023/06/05 8:06:04 PM GMT+5:30;23;Z;Prefer not to say;Once a week;Beauty and Personal Care;No;Multiple times a day;categories;Multiple pages;5;Maybe;Sometimes;Found a better price elsewhere;Sometimes;Yes;Occasionally;Sometimes;3;Sometimes;3;3;Product recommendations;Reducing packaging waste
2023/06/05 8:07:52 PM GMT+5:30;25;Y;Others;Few times a month;Groceries and Gourmet Food;;;;;;;;;;;;;;;;;;
2023/06/05 8:44:09 PM GMT+5:30;23;Z;Female;Less than once a month;Beauty and Personal Care;No;Rarely;categories;Multiple pages;1;Maybe;Rarely;Found a better price elsewhere;Rarely;No;Occasionally;Yes;2;Sometimes;3;2;User-friendly website/app interface;Shipping speed and reliability
2023/06/05 8:46:09 PM GMT+5:30;32;Y;Male;Less than once a month;Clothing and Fashion;;;;;;;;;;;;;;;;;;
2023/06/05 8:47:42 PM GMT+5:30;30;Y;Prefer not to say;Few times a month;Beauty and Personal Care;;;;;;;;;;;;;;;;;;
2023/06/05 8:49:12 PM GMT+5:30;28;Y;Others;Few times a month;Groceries and Gourmet Food;;;;;;;;;;;;;;;;;;
2023/06/05 8:50:24 PM GMT+5:30;20;Z;Female;Multiple times a week;Beauty and Personal Care;;;;;;;;;;;;;;;;;;
2023/06/05 8:52:01 PM GMT+5:30;25;Y;Male;Few times a month;others;No;Rarely;others;Multiple pages;1;Maybe;Sometimes;Changed my mind or no longer need the item;Never;No;Moderately;Sometimes;2;Sometimes;2;3;Wide product selection;Product quality and accuracy
2023/06/05 9:56:02 PM GMT+5:30;55;X;Others;Few times a month;Groceries and Gourmet Food;Yes;Multiple times a day;Keyword;Multiple pages;3;Yes;Sometimes;High shipping costs;Often;Yes;Rarely;Yes;4;Yes;3;3;Product recommendations;Customer service responsiveness
2023/06/05 9:56:08 PM GMT+5:30;24;Z;Female;Once a month;Beauty and Personal Care;;;;;;;;;;;;;;;;;;
2023/06/05 9:58:17 PM GMT+5:30;62;Baby Boomers;Female;Less than once a month;Beauty and Personal Care;Sometimes;Rarely;Filter;Multiple pages;3;Maybe;Sometimes;Found a better price elsewhere;Often;No;Never;Sometimes;5;Yes;4;3;User-friendly website/app interface;Shipping speed and reliability
2023/06/05 10:04:32 PM GMT+5:30;27;Y;Male;Less than once a month;others;No;Rarely;others;First page;4;No;Never;others;Never;No;Never;No;5;No;5;5;Competitive prices;Customer service responsiveness
2023/06/05 10:05:25 PM GMT+5:30;34;Y;Prefer not to say;Few times a month;Beauty and Personal Care;;;;;;;;;;;;;;;;;;
2023/06/05 10:06:15 PM GMT+5:30;40;Y;Female;Once a week;Beauty and Personal Care;;;;;;;;;;;;;;;;;;
2023/06/05 10:06:46 PM GMT+5:30;22;Z;Others;Less than once a month;others;Yes;Few times a month;categories;Multiple pages;4;Maybe;Often;Found a better price elsewhere;Rarely;Yes;Rarely;No;3;No;3;4;User-friendly website/app interface;Reducing packaging waste
2023/06/05 10:07:31 PM GMT+5:30;34;Y;Prefer not to say;Few times a month;Clothing and Fashion;;;;;;;;;;;;;;;;;;
2023/06/05 10:07:33 PM GMT+5:30;24;Z;Female;Less than once a month;Beauty and Personal Care;;;;;;;;;;;;;;;;;;
2023/06/05 10:08:15 PM GMT+5:30;44;X;Male;Few times a month;Clothing and Fashion;;;;;;;;;;;;;;;;;;
2023/06/05 10:09:03 PM GMT+5:30;31;Y;Female;Once a month;Home and Kitchen;;;;;;;;;;;;;;;;;;
2023/06/06 8:46:03 AM GMT+5:30;23;Z;Female;Once a week;Clothing and Fashion;Sometimes;Few times a week;categories;Multiple pages;5;No;Rarely;others;Sometimes;No;Occasionally;Sometimes;3;Yes;3;3;Product recommendations;Product quality and accuracy
2023/06/06 9:37:33 AM GMT+5:30;23;Z;Female;Less than once a month;Beauty and Personal Care;;;;;;;;;;;;;;;;;;
2023/06/06 9:39:32 AM GMT+5:30;22;Z;Female;Less than once a month;Clothing and Fashion;;;;;;;;;;;;;;;;;;
2023/06/06 9:45:55 AM GMT+5:30;24;Z;Female;Once a week;Beauty and Personal Care;;;;;;;;;;;;;;;;;;
2023/06/06 9:47:31 AM GMT+5:30;23;Z;Prefer not to say;Once a week;Beauty and Personal Care;;;;;;;;;;;;;;;;;;
2023/06/06 9:59:35 AM GMT+5:30;25;Y;Male;Less than once a month;others;Yes;Few times a month;Keyword;Multiple pages;5;Yes;Rarely;others;Never;No;Moderately;Yes;3;Sometimes;3;3;Wide product selection;Customer service responsiveness
2023/06/06 10:03:52 AM GMT+5:30;23;Z;Male;Once a week;Clothing and Fashion;Sometimes;Few times a week;Filter;Multiple pages;1;No;Sometimes;Changed my mind or no longer need the item;Sometimes;Yes;Moderately;No;1;No;2;2;Competitive prices;Customer service responsiveness
2023/06/06 10:07:39 AM GMT+5:30;24;Z;Male;Once a month;Groceries and Gourmet Food;;;;;;;;;;;;;;;;;;
2023/06/06 10:17:06 AM GMT+5:30;24;Z;Female;Few times a month;others;Yes;Few times a week;Keyword;Multiple pages;1;Yes;Often;Changed my mind or no longer need the item;Sometimes;No;Moderately;Yes;2;Yes;3;2;Wide product selection;Customer service responsiveness
2023/06/06 10:19:05 AM GMT+5:30;26;Y;Female;Less than once a month;others;No;Few times a month;Keyword;Multiple pages;1;Yes;Sometimes;High shipping costs;Often;Yes;Moderately;Yes;1;Yes;2;1;Product recommendations;Shipping speed and reliability
2023/06/06 10:22:47 AM GMT+5:30;25;Y;Female;Less than once a month;Clothing and Fashion;Sometimes;Rarely;categories;First page;5;Yes;Sometimes;Changed my mind or no longer need the item;Sometimes;Yes;Moderately;Yes;4;Sometimes;4;3;Wide product selection;Shipping speed and reliability
2023/06/06 10:36:14 AM GMT+5:30;26;Y;Male;Few times a month;Clothing and Fashion;;;;;;;;;;;;;;;;;;
2023/06/06 10:46:31 AM GMT+5:30;29;Y;Male;Less than once a month;others;No;Rarely;Keyword;First page;4;No;Sometimes;Found a better price elsewhere;Rarely;No;Moderately;Yes;3;Sometimes;4;4;Wide product selection;Product quality and accuracy
2023/06/06 11:20:53 AM GMT+5:30;23;Z;Female;Once a month;Beauty and Personal Care;;;;;;;;;;;;;;;;;;
2023/06/06 11:49:21 AM GMT+5:30;30;Y;Male;Multiple times a week;Clothing and Fashion;;;;;;;;;;;;;;;;;;
2023/06/06 12:00:16 PM GMT+5:30;23;Z;Female;Less than once a month;Beauty and Personal Care;;;;;;;;;;;;;;;;;;
2023/06/06 12:52:14 PM GMT+5:30;21;Z;Female;Less than once a month;Clothing and Fashion;No;Rarely;Keyword;Multiple pages;1;Yes;Never;High shipping costs;Never;No;Heavily;Yes;4;Sometimes;3;3;Wide product selection;Reducing packaging waste
2023/06/06 1:06:16 PM GMT+5:30;23;Z;Female;Once a month;Beauty and Personal Care;;;;;;;;;;;;;;;;;;
2023/06/06 2:07:12 PM GMT+5:30;21;Z;Female;Once a month;Clothing and Fashion;Sometimes;Few times a week;;Multiple pages;3;Yes;Always;Changed my mind or no longer need the item;Often;No;Moderately;Sometimes;3;Sometimes;3;3;User-friendly website/app interface;Customer service responsiveness
2023/06/06 3:02:38 PM GMT+5:30;23;Z;Female;Less than once a month;Clothing and Fashion;;;;;;;;;;;;;;;;;;
2023/06/06 4:25:49 PM GMT+5:30;27;Y;Male;Once a month;others;Sometimes;Few times a month;Keyword;Multiple pages;3;Yes;Sometimes;Changed my mind or no longer need the item;Often;Yes;Moderately;Yes;3;Sometimes;3;1;Wide product selection;Product quality and accuracy
2023/06/06 4:46:25 PM GMT+5:30;38;Y;Female;Once a month;Beauty and Personal Care;;;;;;;;;;;;;;;;;;
2023/06/06 5:16:58 PM GMT+5:30;23;Z;Female;Less than once a month;Beauty and Personal Care;;;;;;;;;;;;;;;;;;
2023/06/06 6:32:00 PM GMT+5:30;38;Y;Female;Less than once a month;Beauty and Personal Care;;;;;;;;;;;;;;;;;;
2023/06/06 6:32:36 PM GMT+5:30;23;Z;Male;Few times a month;others;No;Few times a week;categories;Multiple pages;3;No;Rarely;Found a better price elsewhere;Sometimes;Yes;Heavily;Sometimes;2;Yes;3;3;Competitive prices;Reducing packaging waste
2023/06/06 6:33:23 PM GMT+5:30;24;Z;Male;Once a week;Clothing and Fashion;;;;;;;;;;;;;;;;;;
2023/06/06 6:34:44 PM GMT+5:30;25;Y;Female;Once a week;Groceries and Gourmet Food;;;;;;;;;;;;;;;;;;
2023/06/06 6:35:14 PM GMT+5:30;26;Y;Male;Less than once a month;Groceries and Gourmet Food;;;;;;;;;;;;;;;;;;
2023/06/06 6:35:33 PM GMT+5:30;27;Y;Male;Once a week;Beauty and Personal Care;;;;;;;;;;;;;;;;;;
2023/06/06 6:36:16 PM GMT+5:30;29;Y;Prefer not to say;Once a week;Beauty and Personal Care;Yes;Few times a week;categories;Multiple pages;1;No;Sometimes;Found a better price elsewhere;Sometimes;Yes;Occasionally;No;3;No;2;1;Competitive prices;Customer service responsiveness
2023/06/06 6:37:19 PM GMT+5:30;35;Y;Prefer not to say;Few times a month;Beauty and Personal Care;;;;;;;;;;;;;;;;;;
2023/06/06 6:37:26 PM GMT+5:30;21;Z;Female;Once a month;Beauty and Personal Care;;;;;;;;;;;;;;;;;;
2023/06/06 6:38:03 PM GMT+5:30;36;Y;Male;Few times a month;Beauty and Personal Care;;;;;;;;;;;;;;;;;;
2023/06/06 6:38:45 PM GMT+5:30;44;X;Female;Few times a month;Beauty and Personal Care;No;Multiple times a day;Filter;First page;2;No;Often;High shipping costs;Sometimes;No;Occasionally;No;2;No;2;2;Competitive prices;Customer service responsiveness
2023/06/06 6:38:49 PM GMT+5:30;32;Y;Female;Once a week;Groceries and Gourmet Food;;;;;;;;;;;;;;;;;;
2023/06/06 6:39:26 PM GMT+5:30;30;Y;Male;Few times a month;Groceries and Gourmet Food;;;;;;;;;;;;;;;;;;
2023/06/06 6:40:27 PM GMT+5:30;36;Y;Others;Less than once a month;others;Sometimes;Rarely;others;First page;5;Maybe;Never;others;Never;No;Never;Sometimes;5;Sometimes;5;5;User-friendly website/app interface;Shipping speed and reliability
2023/06/06 6:40:30 PM GMT+5:30;25;Y;Male;Less than once a month;Groceries and Gourmet Food;;;;;;;;;;;;;;;;;;
2023/06/06 6:41:11 PM GMT+5:30;20;Z;Female;Multiple times a week;Groceries and Gourmet Food;;;;;;;;;;;;;;;;;;
2023/06/06 6:42:00 PM GMT+5:30;35;Y;Female;Once a week;Beauty and Personal Care;No;Few times a month;categories;First page;3;No;Rarely;Changed my mind or no longer need the item;Sometimes;No;Occasionally;No;2;Sometimes;4;3;Product recommendations;Product quality and accuracy
